rank,netuid,weight_percentage,weight_decimal
1,64,14.55386807131662,0.1455386807131662
2,62,11.163344259026083,0.11163344259026083
3,120,9.083304190588134,0.09083304190588135
4,51,8.322360817530985,0.08322360817530985
5,4,6.773227551908999,0.06773227551908999
6,3,6.441860148993069,0.06441860148993069
7,8,5.707629474506044,0.057076294745060444
8,56,5.519278815079756,0.055192788150797555
9,93,4.620370556660195,0.04620370556660195
10,11,3.3430244222164083,0.033430244222164084
11,5,3.2173156142494643,0.03217315614249464
12,9,2.767634980897223,0.027676349808972232
13,34,2.7069872197610665,0.027069872197610666
14,44,2.555828830232508,0.02555828830232508
15,39,2.554903754074778,0.02554903754074778
16,123,2.422688307756294,0.024226883077562943
17,33,2.1979588416433304,0.021979588416433306
18,13,2.0256154914622617,0.020256154914622616
19,17,2.015190659271069,0.02015190659271069
20,1,2.0076079928257275,0.020076079928257273
